fecha_sintomas,sexo,total,total_prom_mov7,total_acumulado
2020-05-05,HOMBRE,1464,1317,30582
2020-05-05,MUJER,1094,951,21596
2020-05-06,HOMBRE,1249,1362,31831
2020-05-06,MUJER,1036,1008,22632
2020-05-07,HOMBRE,1395,1378,33226
2020-05-07,MUJER,1112,1044,23744
2020-05-08,HOMBRE,1675,1361,34901
2020-05-08,MUJER,1240,1049,24984
2020-05-09,HOMBRE,1441,1398,36342
2020-05-09,MUJER,1157,1083,26141
2020-05-10,HOMBRE,1963,1519,38305
2020-05-10,MUJER,1547,1179,27688
2020-05-11,HOMBRE,1749,1562,40054
2020-05-11,MUJER,1469,1236,29157
2020-05-12,HOMBRE,1623,1585,41677
2020-05-12,MUJER,1299,1265,30456
2020-05-13,HOMBRE,1625,1638,43302
2020-05-13,MUJER,1215,1291,31671
2020-05-14,HOMBRE,1614,1670,44916
2020-05-14,MUJER,1265,1313,32936
2020-05-15,HOMBRE,2320,1762,47236
2020-05-15,MUJER,1910,1408,34846
2020-05-16,HOMBRE,1804,1814,49040
2020-05-16,MUJER,1338,1434,36184
2020-05-17,HOMBRE,1739,1782,50779
2020-05-17,MUJER,1321,1402,37505
2020-05-18,HOMBRE,2467,1884,53246
2020-05-18,MUJER,1945,1470,39450
2020-05-19,HOMBRE,1856,1917,55102
2020-05-19,MUJER,1562,1508,41012
2020-05-20,HOMBRE,2610,2058,57712
2020-05-20,MUJER,2088,1632,43100
2020-05-21,HOMBRE,1760,2079,59472
2020-05-21,MUJER,1456,1660,44556
2020-05-22,HOMBRE,2239,2067,61711
2020-05-22,MUJER,1788,1642,46344
2020-05-23,HOMBRE,2049,2102,63760
2020-05-23,MUJER,1659,1688,48003
2020-05-24,HOMBRE,1913,2127,65673
2020-05-24,MUJER,1570,1724,49573
2020-05-25,HOMBRE,2842,2181,68515
2020-05-25,MUJER,2403,1789,51976
2020-05-26,HOMBRE,2143,2222,70658
2020-05-26,MUJER,1705,1809,53681
2020-05-27,HOMBRE,1995,2134,72653
